ID;VALEUR;DATE;
0;1279.15;2019-04-17 01:30:39.0;
0;1279.05;2019-04-17 01:31:14.0;
0;1279.15;2019-04-17 01:31:17.0;
0;1279.05;2019-04-17 01:31:19.0;
0;1278.95;2019-04-17 01:32:19.0;
0;1278.85;2019-04-17 01:32:39.0;
0;1279.05;2019-04-17 01:33:09.0;
0;1278.95;2019-04-17 01:33:12.0;
0;1279.05;2019-04-17 01:33:15.0;
0;1279.15;2019-04-17 01:33:17.0;
0;1279.05;2019-04-17 01:33:20.0;
0;1279.15;2019-04-17 01:33:23.0;
0;1279.05;2019-04-17 01:33:34.0;
0;1278.95;2019-04-17 01:34:17.0;
0;1279.05;2019-04-17 01:34:41.0;
0;1279.15;2019-04-17 01:35:18.0;
0;1279.05;2019-04-17 01:36:30.0;
0;1279.15;2019-04-17 01:37:14.0;
0;1279.05;2019-04-17 01:39:21.0;
0;1279.15;2019-04-17 01:40:05.0;
0;1279.05;2019-04-17 01:40:07.0;
0;1279.15;2019-04-17 01:40:10.0;
0;1279.05;2019-04-17 01:42:25.0;
0;1279.15;2019-04-17 01:43:38.0;
0;1279.25;2019-04-17 01:44:44.0;
0;1279.15;2019-04-17 01:44:47.0;
0;1279.25;2019-04-17 01:44:49.0;
0;1279.15;2019-04-17 01:45:00.0;
0;1279.25;2019-04-17 01:45:03.0;
0;1279.15;2019-04-17 01:45:08.0;
0;1279.25;2019-04-17 01:45:20.0;
0;1279.35;2019-04-17 01:45:43.0;
0;1279.3;2019-04-17 01:45:54.0;
0;1279.25;2019-04-17 01:46:08.0;
0;1279.15;2019-04-17 01:47:22.0;
0;1279.05;2019-04-17 01:47:25.0;
0;1279.15;2019-04-17 01:47:28.0;
0;1279.05;2019-04-17 01:47:30.0;
0;1279.15;2019-04-17 01:48:05.0;
0;1279.05;2019-04-17 01:50:18.0;
0;1279.15;2019-04-17 01:50:23.0;
0;1278.85;2019-04-17 01:50:33.0;
0;1278.95;2019-04-17 01:50:35.0;
0;1278.85;2019-04-17 01:50:41.0;
0;1278.75;2019-04-17 01:51:19.0;
0;1278.85;2019-04-17 01:51:22.0;
0;1278.75;2019-04-17 01:51:25.0;
0;1278.85;2019-04-17 01:51:42.0;
0;1278.75;2019-04-17 01:52:20.0;
0;1278.85;2019-04-17 01:52:34.0;
0;1278.75;2019-04-17 01:52:36.0;
0;1278.85;2019-04-17 01:52:39.0;
0;1278.9;2019-04-17 01:52:48.0;
0;1278.85;2019-04-17 01:52:51.0;
0;1278.9;2019-04-17 01:52:53.0;
0;1278.95;2019-04-17 01:53:01.0;
0;1278.85;2019-04-17 01:53:36.0;
0;1278.95;2019-04-17 01:53:38.0;
0;1278.85;2019-04-17 01:53:41.0;
0;1278.95;2019-04-17 01:54:08.0;
0;1278.9;2019-04-17 01:54:17.0;
0;1278.95;2019-04-17 01:54:20.0;
0;1278.9;2019-04-17 01:54:22.0;
0;1278.95;2019-04-17 01:54:33.0;
0;1278.9;2019-04-17 01:54:42.0;
0;1278.95;2019-04-17 01:55:11.0;
0;1279.05;2019-04-17 01:57:04.0;
0;1278.95;2019-04-17 01:57:28.0;
0;1278.85;2019-04-17 01:58:58.0;
0;1278.95;2019-04-17 01:59:24.0;
0;1278.9;2019-04-17 02:00:50.0;
0;1278.95;2019-04-17 02:00:58.0;
0;1278.9;2019-04-17 02:01:01.0;
0;1278.95;2019-04-17 02:01:04.0;
0;1278.85;2019-04-17 02:01:21.0;
0;1278.9;2019-04-17 02:01:37.0;
0;1278.85;2019-04-17 02:01:39.0;
0;1278.95;2019-04-17 02:01:42.0;
0;1278.75;2019-04-17 02:01:45.0;
0;1278.85;2019-04-17 02:02:17.0;
0;1278.65;2019-04-17 02:02:22.0;
0;1278.95;2019-04-17 02:02:44.0;
0;1279.15;2019-04-17 02:03:06.0;
0;1279.25;2019-04-17 02:03:18.0;
0;1279.15;2019-04-17 02:03:46.0;
0;1279.05;2019-04-17 02:03:48.0;
0;1279.15;2019-04-17 02:03:51.0;
0;1278.95;2019-04-17 02:04:10.0;
0;1278.85;2019-04-17 02:04:26.0;
0;1278.65;2019-04-17 02:04:47.0;
0;1278.55;2019-04-17 02:05:00.0;
0;1278.65;2019-04-17 02:05:02.0;
0;1278.55;2019-04-17 02:05:05.0;
0;1278.65;2019-04-17 02:05:33.0;
0;1278.55;2019-04-17 02:05:35.0;
0;1278.65;2019-04-17 02:06:09.0;
0;1278.7;2019-04-17 02:06:41.0;
0;1278.75;2019-04-17 02:06:44.0;
0;1278.65;2019-04-17 02:06:52.0;
0;1278.7;2019-04-17 02:07:02.0;
0;1278.6;2019-04-17 02:07:05.0;
0;1278.65;2019-04-17 02:07:22.0;
0;1278.55;2019-04-17 02:07:31.0;
0;1278.45;2019-04-17 02:07:40.0;
0;1278.15;2019-04-17 02:08:10.0;
0;1278.45;2019-04-17 02:08:13.0;
0;1278.15;2019-04-17 02:08:16.0;
0;1278.25;2019-04-17 02:08:19.0;
0;1278.15;2019-04-17 02:08:21.0;
0;1278.25;2019-04-17 02:08:24.0;
0;1278.15;2019-04-17 02:08:40.0;
0;1278.25;2019-04-17 02:08:43.0;
0;1278.15;2019-04-17 02:08:46.0;
0;1277.95;2019-04-17 02:09:06.0;
0;1278.05;2019-04-17 02:09:08.0;
0;1277.95;2019-04-17 02:09:11.0;
0;1277.85;2019-04-17 02:09:13.0;
0;1278.05;2019-04-17 02:09:21.0;
0;1277.95;2019-04-17 02:09:51.0;
0;1277.75;2019-04-17 02:10:10.0;
0;1277.55;2019-04-17 02:10:22.0;
0;1277.85;2019-04-17 02:10:27.0;
0;1277.75;2019-04-17 02:10:43.0;
0;1277.7;2019-04-17 02:11:08.0;
0;1277.35;2019-04-17 02:11:17.0;
0;1277.55;2019-04-17 02:11:22.0;
0;1277.5;2019-04-17 02:12:12.0;
0;1277.35;2019-04-17 02:12:18.0;
0;1277.4;2019-04-17 02:12:26.0;
0;1277.35;2019-04-17 02:12:54.0;
0;1277.4;2019-04-17 02:13:00.0;
0;1277.35;2019-04-17 02:13:03.0;
0;1277.25;2019-04-17 02:13:06.0;
0;1277.55;2019-04-17 02:13:22.0;
0;1277.65;2019-04-17 02:14:09.0;
0;1277.75;2019-04-17 02:15:06.0;
0;1277.65;2019-04-17 02:15:22.0;
0;1277.75;2019-04-17 02:15:27.0;
0;1277.65;2019-04-17 02:17:02.0;
0;1277.55;2019-04-17 02:17:34.0;
0;1277.65;2019-04-17 02:18:10.0;
0;1277.55;2019-04-17 02:18:34.0;
0;1277.65;2019-04-17 02:19:05.0;
0;1277.7;2019-04-17 02:19:07.0;
0;1277.65;2019-04-17 02:19:12.0;
0;1277.55;2019-04-17 02:19:18.0;
0;1277.45;2019-04-17 02:20:10.0;
0;1277.4;2019-04-17 02:20:34.0;
0;1277.45;2019-04-17 02:20:42.0;
0;1277.35;2019-04-17 02:20:48.0;
0;1277.55;2019-04-17 02:21:21.0;
0;1277.35;2019-04-17 02:21:27.0;
0;1277.45;2019-04-17 02:21:30.0;
