ID;VALEUR;DATE;
0;26420.65;2019-04-17 00:00:08.0;
0;26416.67;2019-04-17 00:00:29.0;
0;26417.67;2019-04-17 00:00:40.0;
0;26421.65;2019-04-17 00:01:06.0;
0;26417.67;2019-04-17 00:01:09.0;
0;26421.65;2019-04-17 00:01:11.0;
0;26424.14;2019-04-17 00:01:22.0;
0;26422.64;2019-04-17 00:01:28.0;
0;26421.15;2019-04-17 00:01:31.0;
0;26422.64;2019-04-17 00:01:33.0;
0;26421.65;2019-04-17 00:01:36.0;
0;26420.16;2019-04-17 00:01:52.0;
0;26421.65;2019-04-17 00:01:55.0;
0;26420.16;2019-04-17 00:01:58.0;
0;26421.15;2019-04-17 00:02:03.0;
0;26418.67;2019-04-17 00:02:22.0;
0;26419.16;2019-04-17 00:02:27.0;
0;26420.16;2019-04-17 00:02:35.0;
0;26420.66;2019-04-17 00:02:48.0;
0;26421.15;2019-04-17 00:03:10.0;
0;26421.65;2019-04-17 00:03:32.0;
0;26422.15;2019-04-17 00:03:40.0;
0;26421.15;2019-04-17 00:03:48.0;
0;26422.15;2019-04-17 00:03:54.0;
0;26421.15;2019-04-17 00:03:56.0;
0;26421.16;2019-04-17 00:04:26.0;
0;26421.65;2019-04-17 00:04:38.0;
0;26422.15;2019-04-17 00:04:44.0;
0;26423.64;2019-04-17 00:04:58.0;
0;26422.65;2019-04-17 00:05:04.0;
0;26423.15;2019-04-17 00:05:07.0;
0;26422.15;2019-04-17 00:05:18.0;
0;26419.67;2019-04-17 00:06:09.0;
0;26418.67;2019-04-17 00:06:23.0;
0;26419.17;2019-04-17 00:06:40.0;
0;26418.67;2019-04-17 00:08:48.0;
0;26420.17;2019-04-17 00:08:53.0;
0;26420.67;2019-04-17 00:09:32.0;
0;26421.16;2019-04-17 00:10:05.0;
0;26421.17;2019-04-17 00:11:14.0;
0;26421.66;2019-04-17 00:11:40.0;
0;26423.16;2019-04-17 00:11:49.0;
0;26424.15;2019-04-17 00:12:03.0;
0;26425.15;2019-04-17 00:12:25.0;
0;26424.15;2019-04-17 00:12:27.0;
0;26425.15;2019-04-17 00:12:30.0;
0;26424.15;2019-04-17 00:12:56.0;
0;26421.17;2019-04-17 00:13:04.0;
0;26420.18;2019-04-17 00:14:34.0;
0;26419.18;2019-04-17 00:14:42.0;
0;26418.68;2019-04-17 00:15:04.0;
0;26419.18;2019-04-17 00:15:06.0;
0;26418.68;2019-04-17 00:15:11.0;
0;26419.18;2019-04-17 00:15:25.0;
0;26418.68;2019-04-17 00:15:28.0;
0;26419.18;2019-04-17 00:15:30.0;
0;26420.18;2019-04-17 00:15:33.0;
0;26419.18;2019-04-17 00:15:45.0;
0;26418.19;2019-04-17 00:16:34.0;
0;26418.69;2019-04-17 00:17:03.0;
0;26419.18;2019-04-17 00:17:32.0;
0;26419.19;2019-04-17 00:17:41.0;
0;26418.69;2019-04-17 00:17:47.0;
0;26419.19;2019-04-17 00:17:49.0;
0;26418.69;2019-04-17 00:17:53.0;
0;26418.19;2019-04-17 00:18:12.0;
0;26420.18;2019-04-17 00:18:43.0;
0;26420.68;2019-04-17 00:18:51.0;
0;26421.18;2019-04-17 00:18:54.0;
0;26420.68;2019-04-17 00:18:59.0;
0;26421.18;2019-04-17 00:19:02.0;
0;26420.18;2019-04-17 00:19:16.0;
0;26420.68;2019-04-17 00:19:33.0;
0;26420.18;2019-04-17 00:19:42.0;
0;26419.19;2019-04-17 00:19:45.0;
0;26420.18;2019-04-17 00:20:05.0;
0;26419.69;2019-04-17 00:20:24.0;
0;26420.18;2019-04-17 00:20:36.0;
0;26420.19;2019-04-17 00:21:26.0;
0;26420.68;2019-04-17 00:21:37.0;
0;26421.18;2019-04-17 00:21:40.0;
0;26420.19;2019-04-17 00:22:23.0;
0;26419.69;2019-04-17 00:22:29.0;
0;26420.19;2019-04-17 00:22:31.0;
0;26419.69;2019-04-17 00:22:35.0;
0;26420.19;2019-04-17 00:22:54.0;
0;26420.69;2019-04-17 00:23:14.0;
0;26421.18;2019-04-17 00:24:04.0;
0;26420.69;2019-04-17 00:24:06.0;
0;26421.18;2019-04-17 00:24:09.0;
0;26422.18;2019-04-17 00:24:28.0;
0;26421.18;2019-04-17 00:24:31.0;
0;26422.18;2019-04-17 00:24:34.0;
0;26421.68;2019-04-17 00:24:43.0;
0;26422.18;2019-04-17 00:24:45.0;
0;26421.68;2019-04-17 00:24:48.0;
0;26420.69;2019-04-17 00:25:03.0;
0;26421.19;2019-04-17 00:25:08.0;
0;26420.69;2019-04-17 00:25:16.0;
0;26420.19;2019-04-17 00:25:21.0;
0;26421.19;2019-04-17 00:25:23.0;
0;26420.69;2019-04-17 00:26:04.0;
0;26420.19;2019-04-17 00:26:24.0;
0;26419.7;2019-04-17 00:26:27.0;
0;26419.2;2019-04-17 00:26:44.0;
0;26419.7;2019-04-17 00:26:49.0;
0;26418.7;2019-04-17 00:26:52.0;
0;26419.2;2019-04-17 00:26:58.0;
0;26418.7;2019-04-17 00:27:10.0;
0;26418.2;2019-04-17 00:27:23.0;
0;26418.7;2019-04-17 00:27:32.0;
0;26418.21;2019-04-17 00:27:44.0;
0;26418.7;2019-04-17 00:27:46.0;
0;26418.21;2019-04-17 00:27:49.0;
0;26418.7;2019-04-17 00:28:02.0;
0;26418.21;2019-04-17 00:28:24.0;
0;26417.71;2019-04-17 00:28:52.0;
0;26417.21;2019-04-17 00:28:58.0;
0;26417.71;2019-04-17 00:29:01.0;
0;26416.71;2019-04-17 00:29:03.0;
0;26417.21;2019-04-17 00:29:14.0;
0;26416.72;2019-04-17 00:29:22.0;
0;26417.21;2019-04-17 00:29:28.0;
0;26418.71;2019-04-17 00:29:50.0;
0;26418.21;2019-04-17 00:30:10.0;
0;26420.2;2019-04-17 00:30:27.0;
0;26418.21;2019-04-17 00:30:32.0;
0;26420.2;2019-04-17 00:30:35.0;
0;26421.19;2019-04-17 00:30:41.0;
0;26420.2;2019-04-17 00:30:44.0;
0;26421.19;2019-04-17 00:30:46.0;
0;26421.2;2019-04-17 00:31:35.0;
0;26421.69;2019-04-17 00:31:51.0;
0;26421.2;2019-04-17 00:31:54.0;
0;26421.69;2019-04-17 00:31:57.0;
0;26422.19;2019-04-17 00:32:05.0;
0;26421.69;2019-04-17 00:32:07.0;
0;26422.19;2019-04-17 00:32:10.0;
0;26423.19;2019-04-17 00:32:39.0;
0;26424.18;2019-04-17 00:33:03.0;
0;26423.68;2019-04-17 00:33:25.0;
0;26424.18;2019-04-17 00:33:39.0;
0;26425.18;2019-04-17 00:34:04.0;
0;26429.65;2019-04-17 00:34:22.0;
0;26425.18;2019-04-17 00:34:25.0;
0;26429.65;2019-04-17 00:34:27.0;
0;26429.16;2019-04-17 00:34:41.0;
0;26428.66;2019-04-17 00:34:53.0;
0;26427.17;2019-04-17 00:35:16.0;
0;26428.16;2019-04-17 00:35:36.0;
0;26430.15;2019-04-17 00:36:08.0;
0;26430.65;2019-04-17 00:36:25.0;
0;26430.16;2019-04-17 00:36:34.0;
0;26430.65;2019-04-17 00:37:27.0;
0;26430.16;2019-04-17 00:38:04.0;
0;26430.65;2019-04-17 00:38:09.0;
0;26430.16;2019-04-17 00:38:11.0;
0;26429.66;2019-04-17 00:38:27.0;
0;26430.16;2019-04-17 00:38:30.0;
0;26429.66;2019-04-17 00:38:33.0;
0;26430.16;2019-04-17 00:38:35.0;
0;26429.66;2019-04-17 00:38:53.0;
0;26430.16;2019-04-17 00:39:12.0;
0;26429.66;2019-04-17 00:39:44.0;
0;26430.16;2019-04-17 00:40:05.0;
0;26429.17;2019-04-17 00:40:29.0;
0;26428.67;2019-04-17 00:40:40.0;
0;26429.17;2019-04-17 00:40:43.0;
0;26428.17;2019-04-17 00:40:45.0;
0;26427.18;2019-04-17 00:42:07.0;
0;26427.68;2019-04-17 00:42:24.0;
0;26428.17;2019-04-17 00:42:31.0;
0;26427.18;2019-04-17 00:42:37.0;
0;26426.68;2019-04-17 00:42:50.0;
0;26427.18;2019-04-17 00:43:01.0;
0;26426.68;2019-04-17 00:43:19.0;
0;26427.18;2019-04-17 00:43:22.0;
0;26426.68;2019-04-17 00:43:24.0;
0;26427.18;2019-04-17 00:43:27.0;
0;26426.69;2019-04-17 00:44:59.0;
0;26425.69;2019-04-17 00:45:10.0;
0;26426.69;2019-04-17 00:45:13.0;
0;26425.69;2019-04-17 00:45:15.0;
0;26422.21;2019-04-17 00:45:26.0;
0;26421.71;2019-04-17 00:46:07.0;
0;26422.21;2019-04-17 00:46:09.0;
0;26421.71;2019-04-17 00:46:12.0;
0;26420.72;2019-04-17 00:46:23.0;
0;26419.23;2019-04-17 00:46:31.0;
0;26419.72;2019-04-17 00:46:34.0;
0;26419.73;2019-04-17 00:46:48.0;
0;26422.21;2019-04-17 00:46:53.0;
0;26421.22;2019-04-17 00:46:59.0;
0;26422.21;2019-04-17 00:47:02.0;
0;26420.72;2019-04-17 00:47:04.0;
0;26421.22;2019-04-17 00:47:12.0;
0;26420.72;2019-04-17 00:47:15.0;
0;26421.22;2019-04-17 00:47:23.0;
0;26420.72;2019-04-17 00:47:35.0;
0;26421.22;2019-04-17 00:47:37.0;
0;26420.72;2019-04-17 00:47:40.0;
0;26420.22;2019-04-17 00:48:25.0;
0;26420.23;2019-04-17 00:48:29.0;
0;26420.22;2019-04-17 00:48:31.0;
0;26420.23;2019-04-17 00:48:34.0;
0;26419.73;2019-04-17 00:48:40.0;
0;26419.23;2019-04-17 00:48:48.0;
0;26418.73;2019-04-17 00:49:43.0;
0;26419.23;2019-04-17 00:49:46.0;
0;26419.73;2019-04-17 00:49:49.0;
0;26418.74;2019-04-17 00:50:10.0;
0;26417.74;2019-04-17 00:50:26.0;
0;26417.24;2019-04-17 00:50:38.0;
0;26417.74;2019-04-17 00:50:40.0;
0;26417.24;2019-04-17 00:50:49.0;
0;26416.75;2019-04-17 00:50:59.0;
0;26417.24;2019-04-17 00:51:05.0;
0;26416.75;2019-04-17 00:51:07.0;
0;26415.75;2019-04-17 00:51:10.0;
0;26414.76;2019-04-17 00:51:15.0;
0;26414.26;2019-04-17 00:51:30.0;
0;26415.75;2019-04-17 00:52:32.0;
0;26414.26;2019-04-17 00:52:35.0;
0;26416.25;2019-04-17 00:52:38.0;
0;26415.75;2019-04-17 00:52:40.0;
0;26416.25;2019-04-17 00:52:43.0;
0;26415.75;2019-04-17 00:52:54.0;
0;26415.76;2019-04-17 00:53:00.0;
0;26415.26;2019-04-17 00:53:02.0;
0;26415.76;2019-04-17 00:53:05.0;
0;26410.28;2019-04-17 00:53:10.0;
0;26409.79;2019-04-17 00:53:24.0;
0;26409.29;2019-04-17 00:53:43.0;
0;26409.79;2019-04-17 00:53:46.0;
0;26409.29;2019-04-17 00:53:49.0;
0;26408.3;2019-04-17 00:54:10.0;
0;26407.8;2019-04-17 00:54:27.0;
